Gage_no,Gage_name,Gage_type,Lat_nwis,Long_nwis,SqKm_nwis,Lat_snap,Long_snap,COMID,COMID_meas,REACHCODE,REACH_meas,NHDPlusReg,State,Pass,CHECKED,QC_notes1,REVIEWED,Rev_notes2,Ver_notes3,Gage_info,QC_final,MovedCOMID
08170000,"San Marcos Spgs at San Marcos, TX",ContGage,29.889108040000000,-97.934171800000001,0.000000000000000,29.889101875800002,-97.934315214700007,1631099,85.758117488899998,12100203000131,85.758117488899998,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08202700,"Seco Ck at Rowe Rh nr D'Hanis, TX",CrestStage,29.370789169999998,-99.287818500000000,435.118000999999992,29.371005174200000,-99.288225282599996,10655687,56.329750630600003,12110107000054,56.329750630600003,12,TX,1, , , , , , ,AutoRef, 
08109800,"E Yegua Ck nr Dime Box, TX",CrestStage,30.407431050000000,-96.817479100000000,631.957095999999979,30.406639985900000,-96.817983910899997,5570253,23.489274897100000,12070102000061,23.489274897100000,12,TX,1, , , , , , ,AutoRef, 
08158700,"Onion Ck nr Driftwood, TX",ContGage,30.082989240000000,-98.007785900000002,321.158524000000000,30.083233839700000,-98.007974556899995,5780099,31.760306514800000,12090205000390,81.413315846499998,12,TX,1, , , , , , ,AutoRef, 
08074598,"Whiteoak Bayou at Main St, Houston, TX",CrestStage,29.766616760000002,-95.358548999999996,328.928489000000013,29.766733259100000,-95.358410616200004,1439303,12.166892521599999,12040104000040,12.166892521599999,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08178800,"Salado Ck at Loop 13, San Antonio, TX",ContGage,29.357180169999999,-98.412792499999995,489.507750999999985,29.357157022500001,-98.412901809199994,10840488,57.063327546399996,12100301000019,57.063327546399996,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08178350,"Martinez Ck at Fredericksburg Rd, San Antonio, TX",CrestStage,29.456250000000001,-98.518027799999999,15.021931000000000,29.456494244600002,-98.518276675500005,10840812,0.170485547157000,12100301000184,0.170485547157000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08159500,"Colorado Rv at Smithville, TX",ContGage,30.012720739999999,-97.161932100000001,104560.409585000001243,30.012587394099999,-97.161922553200000,5790058,96.562726007300000,12090301000869,92.649270853399997,12,TX,1, , , , , , ,AutoRef, 
08067000,"Trinity Rv at Liberty, TX",CrestStage,30.057715389999998,-94.818256700000006,45241.912130999997316,30.057827527200001,-94.818359528399995,1513385,70.795787499799999,12030203000517,70.795787499799999,12,TX,1, , , , , , ,AutoRef, 
08074800,"Keegans Bayou at Roark Rd nr Houston, TX",CrestStage,29.656621359999999,-95.562166399999995,32.892848999999998,29.656228434100001,-95.561884010200004,1440395,12.507221017599999,12040104000088,5.989236623100000,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08177500,"Coleto Ck nr Victoria, TX",CrestStage,28.731103170000001,-97.138600400000001,1294.994050000000016,28.729990242300001,-97.139700318699994,1638907,96.564457984300006,12100204000072,96.564457984300006,12,TX,0,SEJ 8/17/17,Moved to GageLoc location. COMID 1638907.,MJS 10/26/2017,agree with move, , ,Move,1638885
08110100,"Davidson Ck nr Lyons, TX",ContGage,30.419651959999999,-96.540246600000003,505.047680000000014,30.419666777100002,-96.540243062299993,5570225,80.298570367799996,12070102000014,80.298570367799996,12,TX,1, , , , , , ,AutoRef, 
08166200,"Guadalupe Rv at Kerrville, TX",ContGage,30.053266000000001,-99.163375000000002,1320.893931000000066,30.052629337199999,-99.163928323099995,3585724,91.300355420399995,12100201000562,91.300355420399995,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08077000,"Clear Ck nr Pearland, TX",CrestStage,29.597454580000001,-95.286602900000005,100.491538000000006,29.597598718499999,-95.286615398199999,1562340,61.338461295899997,12040204000075,24.492229005999999,12,TX,1, , , , , , ,AutoRef, 
08164800,"Placedo Ck nr Placedo, TX",CrestStage,28.725271370000002,-96.768870199999995,176.896186999999998,28.725329539600001,-96.768814531900006,9349455,91.117137890899997,12100402000051,91.117137890899997,12,TX,1, , , , , , ,AutoRef, 
08075730,"Vince Bayou at Pasadena, TX",ContGage,29.694673630000000,-95.216323000000003,21.393301999999998,29.694674220600000,-95.216430496000001,1440389,37.400155746199999,12040104000093,27.980560000000001,12,TX,0,SEJ 9/6/17,Okay., , , , ,OK, 
08113500,"Richmond Irrigation Co S Canal nr Richmond, TX",ContGage,29.566904189999999,-95.783561599999999,0.000000000000000,-9999.000000000000000,-9999.000000000000000,-9999,-9999.000000000000000,-9999,-9999.000000000000000,12,TX,0,SEJ 9/6/17,Drop. Uninitialized flowline., , ,Drop. NHDPlus is not representative. Uninitialized, ,Drop, 
08029700,"BRUSHY CK @ BANCROFT, LA",CrestStage,30.559924100000000,-93.680450300000004,67.080691999999999,30.558398512699998,-93.681148807800000,8330606,66.997025488500000,12010005000348,66.997025488500000,12,LA,0,SEJ 9/20/17,Okay., , , , ,OK, 
08158810,"Bear Ck bl FM 1826 nr Driftwood, TX",CrestStage,30.155487489999999,-97.940007600000001,31.597854999999999,30.155482603900001,-97.940006973500005,5781401,56.744925459699999,12090205000173,56.744925459699999,12,TX,1, , , , , , ,AutoRef, 
08074760,"Brays Bayou at Alief, TX",CrestStage,29.709119699999999,-95.582999999999998,38.849820999999999,29.709172486000000,-95.582999008499996,1439495,14.656604446099999,12040104000086,42.219773645600000,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08197500,"Frio Rv bl Dry Frio Rv nr Uvalde, TX",CrestStage,29.245793400000000,-99.674497799999997,1634.282490999999936,29.245320413799998,-99.674134537000000,10646917,12.002082456600000,12110106000083,12.002082456600000,12,TX,1, , , , , , ,AutoRef, 
08104700,"N Fk San Gabriel Rv nr Georgetown, TX",CrestStage,30.661859199999999,-97.711399299999997,642.317048999999997,30.662404728399999,-97.711240507599996,5670899,58.173193571200002,12070205000054,58.173193571200002,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08189200,"Copano Ck nr Refugio, TX",ContGage,28.303616930000000,-97.112491300000002,227.400955000000010,28.303616930000000,-97.112507426400001,3159657,23.112423670399998,12100405000177,23.112423670399998,12,TX,1, , , , , , ,AutoRef, 
08158930,"Williamson Ck at Manchaca Rd, Austin, TX",CrestStage,30.221320639999998,-97.793616799999995,49.209774000000003,30.221445485499999,-97.793525885799994,5781731,92.696478496899999,12090205000163,92.696478496899999,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08178700,"Salado Ck at Loop 410, San Antonio, TX",CrestStage,29.516063299999999,-98.431127099999998,354.828370000000007,29.516176851499999,-98.430913777900003,10840232,48.718051200500000,12100301000026,48.718051200500000,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08068800,"Cypress Ck at Grant Rd nr Cypress, TX",CrestStage,29.973555659999999,-95.598554500000006,554.257453000000055,29.973540480099999,-95.598538352099993,1509175,65.617827654300001,12040102000042,49.194382557300003,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08075900,"Greens Bayou nr US Hwy 75 nr Houston, TX",CrestStage,29.956888859999999,-95.417993600000003,94.793564000000003,29.956797328499999,-95.417999118400004,1438283,95.478959511900001,12040104000030,99.117043505300003,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08180700,"Medina Rv nr Macdona, TX",ContGage,29.334957979999999,-98.689744000000005,2292.139469000000190,29.335387951500000,-98.689740490099993,10835974,2.496391930640000,12100302000040,2.496391930640000,12,TX,0,SEJ 8/17/17,Moved to GageLoc location.COMID 10835974.,MJS 10/26/2017,agree with move, , ,Move,10835982
08115000,"Big Ck nr Needville, TX",CrestStage,29.471907689999998,-95.803006699999997,110.851490999999996,29.476484256399999,-95.812760909299996,3124582,25.437925167700001,12070104000101,25.437925167700001,12,TX,1,SEJ 8/17/17,Moved to GageLoc location. COMID 3124582.,MJS 10/30/2017,"further upstream than gage, but relatively close to correct locaiton and no tribs enter between. okay", , ,Move,3124238
08076500,"Halls Bayou at Houston, TX",CrestStage,29.861891430000000,-95.334936499999998,74.332657999999995,29.861735618099999,-95.335000381399993,1438737,65.092156678600006,12040104000897,30.199889395500001,12,TX,0,SEJ 9/6/17,Okay., , , , ,OK, 
08076700,"Greens Bayou at Ley Rd, Houston, TX",CrestStage,29.837169500000002,-95.233267100000006,471.377834000000007,29.837089825100001,-95.233332781900003,1440239,82.649153840500006,12040104000024,82.649153840500006,12,TX,1, , ,MJS 10/30/2017,okay, , ,OK, 
08183500,"San Antonio Rv nr Falls City, TX",ContGage,28.951640670000000,-98.064172299999996,5472.644854999999552,28.951604106000001,-98.064236709699998,3838221,42.857044827599999,12100303000184,42.857044827599999,12,TX,1, , , , , , ,AutoRef, 
08158840,"Slaughter Ck at FM 1826 nr Austin, TX",ContGage,30.209097199999999,-97.903340900000003,21.341501999999998,30.209090820699998,-97.903347090599993,5781373,95.630006432900004,12090205000085,95.630006432900004,12,TX,0,SEJ 9/13/17,Okay., , , , ,OK, 
08072760,"Langham Ck at W Little York Rd nr Addicks, TX",CrestStage,29.867170349999999,-95.646612000000005,63.713706999999999,29.867081646799999,-95.646656182800001,1440211,47.751701957900003,12040104000708,47.751701957900003,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
08198000,"Sabinal Rv nr Sabinal, TX",ContGage,29.491064399999999,-99.492824100000007,533.537549000000013,29.491269562399999,-99.492780058299999,10645747,25.409667273099998,12110106000028,19.548467601599999,12,TX,1, , , , , , ,AutoRef, 
08066500,"Trinity Rv at Romayor, TX",ContGage,30.425206700000000,-94.850762200000005,44511.535487000001012,30.425123411000001,-94.850910494700003,1513293,94.144550681300004,12030203000521,94.144550681300004,12,TX,1, , , , , , ,AutoRef, 
08068450,"Panther Br nr Spring, TX",ContGage,30.134383199999998,-95.477717499999997,89.354589000000004,30.134381675000000,-95.477750001800004,1508045,57.465742793499999,12040102000067,57.465742793499999,12,TX,1, , , , , , ,AutoRef, 
08068000,"W Fk San Jacinto Rv nr Conroe, TX",CrestStage,30.244657380000000,-95.457161600000006,2144.510146999999961,30.244772255400001,-95.457116355099998,1468280,40.347395802199998,12040101000021,40.347395802199998,12,TX,1, , ,MJS 10/27/2017,okay, , ,OK, 
08074540,"Little Whiteoak Bayou at Trimble St, Houston, TX",CrestStage,29.792777780000002,-95.368055600000005,46.878785000000001,29.792658196600001,-95.368154721500005,1439229,43.651069634599999,12040104000115,27.136049742200001,12,TX,0,SEJ 9/20/17,Okay., , , , ,OK, 
